		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
20/02/19	5:10 p	83.8	83.8	83.7	80	77.0	16.0	NNW	1.33	19.0	NNW	81.4	93.9	91.5	---	29.606	0.00	0.00	215	1.54	230	0.7	0.03	0.7	0.000	0.065	84.8	76	76.4	94.6	0.000	109	1	95.6	5
20/02/19	5:15 p	83.7	83.8	83.7	79	76.5	14.0	N	1.17	20.0	NNW	81.6	93.3	91.2	---	29.603	0.00	0.00	158	1.13	178	0.5	0.02	0.6	0.000	0.065	84.7	76	76.3	94.4	0.000	107	1	93.9	5
20/02/19	5:20 p	83.6	83.7	83.6	77	75.6	14.0	N	1.17	18.0	N	81.5	92.3	90.2	---	29.607	0.00	0.00	129	0.92	144	0.5	0.02	0.5	0.000	0.065	84.7	75	75.9	94.0	0.000	107	1	93.9	5
20/02/19	5:25 p	83.6	83.7	83.5	78	76.0	14.0	NNW	1.17	17.0	N	81.5	92.7	90.6	---	29.610	0.00	0.00	89	0.64	100	0.0	0.00	0.0	0.000	0.065	84.6	75	75.8	93.8	0.000	109	1	95.6	5
20/02/19	5:30 p	83.5	83.6	83.5	80	76.7	14.0	N	1.17	18.0	NNW	81.4	93.1	91.0	---	29.607	0.00	0.00	55	0.39	69	0.0	0.00	0.0	0.000	0.064	84.6	75	75.8	93.8	0.000	106	1	93.0	5
20/02/19	5:35 p	83.5	83.6	83.5	79	76.3	13.0	N	1.08	17.0	N	81.6	92.8	90.9	---	29.607	0.00	0.00	37	0.27	47	0.0	0.00	0.0	0.000	0.064	84.5	75	75.7	93.6	0.000	102	1	89.5	5
20/02/19	5:40 p	83.6	83.6	83.5	78	76.0	11.0	N	0.92	15.0	N	82.2	92.7	91.3	---	29.609	0.00	0.00	43	0.31	44	0.0	0.00	0.0	0.000	0.065	84.4	75	75.6	93.5	0.000	105	1	92.1	5
20/02/19	5:45 p	83.5	83.6	83.5	79	76.3	11.0	N	0.92	14.0	NNW	82.1	92.8	91.4	---	29.609	0.00	0.00	40	0.29	46	0.0	0.00	0.0	0.000	0.064	84.3	75	75.5	93.3	0.000	106	1	93.0	5
20/02/19	5:50 p	83.4	83.5	83.4	77	75.4	10.0	N	0.83	15.0	N	82.2	91.8	90.6	---	29.616	0.00	0.00	29	0.21	32	0.0	0.00	0.0	0.000	0.064	84.2	75	75.4	93.1	0.000	110	1	96.5	5
20/02/19	5:55 p	83.3	83.4	83.3	79	76.1	11.0	N	0.92	15.0	N	81.9	92.2	90.8	---	29.614	0.00	0.00	26	0.19	26	0.0	0.00	0.0	0.000	0.064	84.2	74	75.0	92.7	0.000	104	1	91.2	5
20/02/19	6:00 p	83.2	83.3	83.2	79	76.0	12.0	N	1.00	18.0	N	81.4	91.9	90.1	---	29.613	0.00	0.00	22	0.16	25	0.0	0.00	0.0	0.000	0.063	84.1	75	75.3	92.9	0.005	108	1	94.7	5
